,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,TWOP_O,TWOP_D,THREEP_O,THREEP_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,WIN_PCT,LOSS_PCT,ADJEM
0,Abilene Christian,Slnd,27,9,96.3,111.8,0.1529,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,-14.4,No Seed,No Seed,2016,0.3333333333333333,0.6666666666666667,-15.5
1,Air Force,MWC,30,12,98.1,105.4,0.306,48.0,51.8,18.8,19.4,24.3,28.1,39.6,37.2,47.0,51.3,33.4,34.9,67.9,-10.9,No Seed,No Seed,2016,0.4,0.6,-7.300000000000011
2,Akron,MAC,34,25,109.0,100.5,0.7187,52.7,46.8,15.5,16.7,28.5,30.4,30.6,32.4,48.0,47.5,38.2,30.1,68.3,-1.4,No Seed,No Seed,2016,0.7352941176470589,0.2647058823529411,8.5
3,Alabama,SEC,33,18,105.4,96.3,0.7387,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,65.7,-0.6,No Seed,No Seed,2016,0.5454545454545454,0.4545454545454546,9.100000000000009
4,Alabama A&M,SWAC,28,10,98.3,113.6,0.1599,46.6,50.5,17.6,17.0,31.6,31.7,38.4,39.5,49.0,51.7,28.4,32.1,66.2,-15.1,No Seed,No Seed,2016,0.35714285714285715,0.6428571428571428,-15.299999999999997
5,Alabama St.,SWAC,29,12,98.0,110.8,0.197,45.8,51.2,17.2,18.3,31.4,30.0,31.7,45.0,43.6,51.6,33.3,33.7,69.8,-13.1,No Seed,No Seed,2016,0.41379310344827586,0.5862068965517242,-12.799999999999997
6,Albany,AE,32,23,104.7,102.1,0.5703,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,51.8,50.2,32.3,30.9,67.3,-4.0,No Seed,No Seed,2016,0.71875,0.28125,2.6000000000000085
7,Alcorn St.,SWAC,28,13,96.8,111.5,0.1647,45.6,51.0,21.1,17.3,34.8,31.9,38.4,39.7,45.3,48.6,30.8,37.0,66.5,-11.5,No Seed,No Seed,2016,0.4642857142857143,0.5357142857142857,-14.700000000000003
8,American,Pat,31,12,91.4,106.8,0.1433,49.0,51.6,22.1,19.2,23.5,30.2,31.7,40.1,47.7,53.7,34.1,31.1,62.2,-14.1,No Seed,No Seed,2016,0.3870967741935484,0.6129032258064516,-15.399999999999991
9,Appalachian St.,SB,31,9,100.8,110.6,0.2554,47.2,51.2,21.0,15.9,33.0,32.3,39.1,39.8,43.1,48.8,35.6,38.6,71.3,-15.2,No Seed,No Seed,2016,0.2903225806451613,0.7096774193548387,-9.799999999999997
10,Arizona,P12,34,25,116.1,95.7,0.9022,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,3.4,R64,6.0,2016,0.7352941176470589,0.2647058823529411,20.39999999999999
11,Arizona St.,P12,32,15,108.3,100.0,0.7131,48.1,52.0,17.1,18.3,31.5,27.8,37.8,38.1,46.6,51.4,33.6,35.4,68.9,-4.2,No Seed,No Seed,2016,0.46875,0.53125,8.299999999999997
12,Arkansas,SEC,32,16,109.5,99.0,0.7602,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71.0,-4.6,No Seed,No Seed,2016,0.5,0.5,10.5
13,Arkansas Little Rock,SB,33,28,107.6,96.7,0.7732,51.9,45.9,15.6,21.0,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2.1,R32,12.0,2016,0.8484848484848485,0.1515151515151515,10.899999999999991
14,Arkansas Pine Bluff,SWAC,33,8,87.8,109.6,0.0719,45.0,49.2,23.8,20.2,27.7,37.4,30.1,53.7,44.7,49.6,30.3,32.3,65.8,-17.8,No Seed,No Seed,2016,0.24242424242424243,0.7575757575757576,-21.799999999999997
15,Arkansas St.,SB,29,9,99.1,107.4,0.2826,45.8,47.1,18.0,14.9,28.0,31.2,40.1,38.0,45.1,43.5,31.5,35.6,73.3,-13.9,No Seed,No Seed,2016,0.3103448275862069,0.6896551724137931,-8.300000000000011
16,Army,Pat,32,18,98.6,105.2,0.3222,49.7,49.4,18.5,16.4,31.0,26.8,31.7,32.0,49.3,48.2,33.4,34.9,73.3,-9.3,No Seed,No Seed,2016,0.5625,0.4375,-6.6000000000000085
17,Auburn,SEC,31,11,100.4,102.4,0.4438,47.3,50.5,18.9,17.8,27.9,32.3,41.0,40.1,44.3,49.6,34.0,34.8,72.5,-8.3,No Seed,No Seed,2016,0.3548387096774194,0.6451612903225806,-2.0
18,Austin Peay,OVC,34,16,103.4,109.1,0.3501,51.3,53.8,20.2,18.6,31.9,30.0,47.0,31.3,51.0,53.3,34.7,36.4,70.5,-11.3,R64,16.0,2016,0.47058823529411764,0.5294117647058824,-5.699999999999989
19,Ball St.,MAC,34,20,102.1,102.1,0.4994,52.2,46.8,19.9,16.5,28.0,26.3,34.8,38.6,49.9,43.7,36.9,35.1,66.2,-8.3,No Seed,No Seed,2016,0.5882352941176471,0.4117647058823529,0.0
20,Baylor,B12,33,21,119.3,99.2,0.8924,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,3.5,R64,5.0,2016,0.6363636363636364,0.36363636363636365,20.099999999999994
21,Belmont,OVC,31,19,113.4,109.2,0.6073,58.6,50.8,19.3,16.5,26.4,30.9,34.5,37.1,62.6,49.5,36.4,35.4,72.7,-4.9,No Seed,No Seed,2016,0.6129032258064516,0.3870967741935484,4.200000000000003
22,Bethune Cookman,MEAC,30,12,97.5,110.6,0.1889,47.1,49.7,18.5,18.0,32.0,35.7,31.0,34.5,47.4,48.4,31.1,34.6,67.8,-13.8,No Seed,No Seed,2016,0.4,0.6,-13.099999999999994
23,Binghamton,AE,30,8,89.3,102.1,0.1763,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,45.0,49.0,28.4,33.7,66.6,-17.3,No Seed,No Seed,2016,0.26666666666666666,0.7333333333333334,-12.799999999999997
24,Boise St.,MWC,30,18,108.2,99.7,0.719,51.7,52.0,16.4,20.2,27.2,25.5,40.9,36.8,53.7,50.9,32.6,36.0,70.3,-3.6,No Seed,No Seed,2016,0.6,0.4,8.5
25,Boston College,ACC,32,7,95.0,99.1,0.382,47.5,52.4,20.0,19.5,21.8,28.6,25.9,37.0,46.9,50.0,32.3,38.2,67.8,-12.2,No Seed,No Seed,2016,0.21875,0.78125,-4.099999999999994
26,Boston University,Pat,33,18,101.7,107.4,0.3486,52.2,50.0,19.6,17.1,26.5,28.1,37.0,33.9,51.0,50.0,36.1,33.3,70.6,-10.0,No Seed,No Seed,2016,0.5454545454545454,0.4545454545454546,-5.700000000000003
27,Bowling Green,MAC,32,14,99.1,105.8,0.3201,48.9,50.9,18.5,17.1,28.1,28.4,40.2,35.9,47.2,47.3,35.4,37.9,69.3,-11.9,No Seed,No Seed,2016,0.4375,0.5625,-6.700000000000003
28,Bradley,MVC,31,4,86.1,100.9,0.1393,43.0,49.7,25.4,17.0,24.9,26.7,38.3,52.2,43.9,48.7,27.7,34.5,68.1,-17.7,No Seed,No Seed,2016,0.12903225806451613,0.8709677419354839,-14.800000000000011
29,Brown,Ivy,27,7,101.0,110.8,0.2578,50.2,50.8,18.8,16.0,25.6,31.3,36.9,36.4,47.8,48.5,35.9,36.6,71.6,-14.0,No Seed,No Seed,2016,0.25925925925925924,0.7407407407407407,-9.799999999999997
30,Bryant,NEC,30,7,93.3,113.1,0.098,47.3,51.5,19.9,16.0,26.2,33.5,26.9,31.6,46.9,53.1,32.0,32.7,68.2,-17.7,No Seed,No Seed,2016,0.23333333333333334,0.7666666666666666,-19.799999999999997
31,Bucknell,Pat,30,16,104.1,105.3,0.4695,52.1,49.5,18.7,17.9,29.7,28.4,43.9,41.3,51.2,47.6,35.8,35.2,72.2,-9.1,No Seed,No Seed,2016,0.5333333333333333,0.4666666666666667,-1.2000000000000028
32,Buffalo,MAC,34,19,105.1,102.4,0.5746,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49.0,48.8,33.7,34.3,72.9,-5.8,R64,14.0,2016,0.5588235294117647,0.4411764705882353,2.6999999999999886
33,Butler,BE,33,22,118.2,98.6,0.8899,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,69.2,2.0,R32,9.0,2016,0.6666666666666666,0.33333333333333337,19.60000000000001
34,BYU,WCC,36,25,112.0,98.1,0.8223,52.9,48.3,15.8,17.8,31.2,25.2,35.3,31.9,50.2,47.0,38.4,33.7,74.4,-1.5,No Seed,No Seed,2016,0.6944444444444444,0.3055555555555556,13.900000000000006
35,Cal Poly,BW,28,8,106.6,109.6,0.4223,48.0,53.2,15.1,15.9,30.1,28.3,35.2,40.2,44.9,50.0,35.4,40.0,67.3,-12.0,No Seed,No Seed,2016,0.2857142857142857,0.7142857142857143,-3.0
36,Cal St. Bakersfield,WAC,30,21,103.4,95.7,0.7106,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,68.4,-3.5,R64,15.0,2016,0.7,0.30000000000000004,7.700000000000003
37,Cal St. Fullerton,BW,28,8,101.4,108.4,0.3165,46.4,50.7,19.0,16.4,29.7,29.0,43.7,39.7,44.4,48.1,33.3,36.6,69.5,-13.7,No Seed,No Seed,2016,0.2857142857142857,0.7142857142857143,-7.0
38,Cal St. Northridge,BW,28,8,99.2,105.8,0.323,46.7,51.7,19.4,18.9,27.6,31.3,42.1,36.0,47.1,47.8,30.2,39.7,71.3,-13.4,No Seed,No Seed,2016,0.2857142857142857,0.7142857142857143,-6.599999999999994
39,California,P12,34,23,112.4,92.8,0.9006,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,2.2,R64,4.0,2016,0.6764705882352942,0.32352941176470584,19.60000000000001
40,Campbell,BSth,27,9,99.6,113.1,0.1871,49.5,53.5,16.4,18.9,22.0,30.6,41.4,39.3,50.7,52.1,31.7,37.8,69.2,-15.1,No Seed,No Seed,2016,0.3333333333333333,0.6666666666666667,-13.5
41,Canisius,MAAC,33,14,106.6,113.3,0.3338,49.0,54.9,15.9,19.6,31.0,32.8,36.9,39.0,47.5,53.6,34.1,38.0,68.5,-13.7,No Seed,No Seed,2016,0.42424242424242425,0.5757575757575757,-6.700000000000003
42,Central Arkansas,Slnd,28,7,99.8,117.8,0.1291,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,72.9,-16.0,No Seed,No Seed,2016,0.25,0.75,-18.0
43,Central Connecticut,NEC,29,4,92.5,118.0,0.057,44.8,53.4,19.9,14.8,29.9,30.2,31.1,30.6,42.3,53.2,34.2,35.9,68.4,-21.9,No Seed,No Seed,2016,0.13793103448275862,0.8620689655172413,-25.5
44,Central Michigan,MAC,30,14,110.3,108.3,0.5524,51.7,51.0,13.6,15.9,26.5,31.5,30.0,35.2,50.8,50.7,35.2,34.4,67.4,-9.2,No Seed,No Seed,2016,0.4666666666666667,0.5333333333333333,2.0
45,Charleston Southern,BSth,27,6,97.8,110.5,0.1959,50.0,54.0,17.9,16.1,24.7,26.9,27.4,37.7,49.4,52.6,33.8,37.4,69.2,-15.5,No Seed,No Seed,2016,0.2222222222222222,0.7777777777777778,-12.700000000000003
46,Charlotte,CUSA,33,14,103.4,108.2,0.3726,51.0,54.8,16.4,18.3,29.7,27.7,33.2,30.9,47.7,52.7,38.2,39.3,71.2,-12.7,No Seed,No Seed,2016,0.42424242424242425,0.5757575757575757,-4.799999999999997
47,Chattanooga,SC,33,27,105.6,100.8,0.6286,51.7,50.5,18.0,20.2,32.3,29.0,41.6,30.9,50.7,50.5,35.6,33.7,67.3,0.4,R64,12.0,2016,0.8181818181818182,0.18181818181818177,4.799999999999997
48,Chicago St.,WAC,29,1,90.8,112.5,0.0786,42.6,54.5,20.4,19.0,29.5,33.4,28.1,43.6,40.9,51.8,30.1,38.7,70.4,-21.2,No Seed,No Seed,2016,0.034482758620689655,0.9655172413793104,-21.700000000000003
49,Cincinnati,Amer,33,22,110.0,93.5,0.866,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27.0,47.7,41.3,34.8,35.7,66.0,0.3,R64,9.0,2016,0.6666666666666666,0.33333333333333337,16.5
50,Clemson,ACC,31,17,112.1,98.0,0.8241,50.6,47.9,15.8,18.0,30.3,30.3,33.3,28.5,49.1,45.5,35.2,34.9,64.5,-2.4,No Seed,No Seed,2016,0.5483870967741935,0.4516129032258065,14.099999999999994
51,Cleveland St.,Horz,30,7,90.3,101.4,0.2077,44.8,51.6,21.8,19.9,29.4,31.7,30.9,46.6,43.4,50.7,32.0,35.5,64.9,-15.9,No Seed,No Seed,2016,0.23333333333333334,0.7666666666666666,-11.100000000000009
52,Coastal Carolina,BSth,30,18,100.7,101.5,0.4796,49.5,46.3,18.8,15.3,30.6,29.0,35.7,31.7,49.1,46.2,33.4,30.9,67.5,-7.0,No Seed,No Seed,2016,0.6,0.4,-0.7999999999999972
53,Colgate,Pat,29,12,102.5,111.9,0.2685,52.5,53.2,18.4,19.4,26.6,30.6,29.9,41.8,50.3,51.4,37.0,37.5,65.7,-12.3,No Seed,No Seed,2016,0.41379310344827586,0.5862068965517242,-9.400000000000006
54,College of Charleston,CAA,30,16,96.4,93.3,0.5922,47.4,48.1,19.5,21.6,30.4,26.9,32.8,43.1,45.6,48.2,34.0,32.0,65.0,-7.3,No Seed,No Seed,2016,0.5333333333333333,0.4666666666666667,3.1000000000000085
55,Colorado,P12,33,21,107.8,95.2,0.8072,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,0.7,R64,8.0,2016,0.6363636363636364,0.36363636363636365,12.599999999999994
56,Colorado St.,MWC,32,16,111.3,109.1,0.5567,49.9,52.1,16.3,14.1,33.0,25.1,42.3,35.1,46.5,51.4,36.2,35.4,68.9,-8.5,No Seed,No Seed,2016,0.5,0.5,2.200000000000003
57,Columbia,Ivy,33,23,111.8,105.9,0.6512,53.5,51.5,15.9,19.0,28.5,26.9,37.9,34.6,50.5,50.2,38.1,35.7,65.9,-4.3,No Seed,No Seed,2016,0.696969696969697,0.303030303030303,5.8999999999999915
58,Connecticut,Amer,36,25,110.5,93.4,0.8732,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42.0,36.5,32.6,66.9,1.2,R32,9.0,2016,0.6944444444444444,0.3055555555555556,17.099999999999994
59,Coppin St.,MEAC,29,7,95.3,111.8,0.1368,44.2,52.8,17.7,18.1,30.7,34.8,37.2,43.1,40.6,51.8,33.4,36.7,71.1,-16.2,No Seed,No Seed,2016,0.2413793103448276,0.7586206896551724,-16.5
60,Cornell,Ivy,27,9,96.7,107.6,0.2276,48.7,51.5,17.9,19.8,22.4,36.1,32.3,35.8,47.0,49.7,34.1,36.4,73.3,-11.6,No Seed,No Seed,2016,0.3333333333333333,0.6666666666666667,-10.899999999999991
61,Creighton,BE,35,20,112.8,96.3,0.8604,53.8,49.0,16.1,17.5,27.3,26.1,37.5,33.5,54.5,47.5,35.2,34.6,71.3,-1.8,No Seed,No Seed,2016,0.5714285714285714,0.4285714285714286,16.5
62,Dartmouth,Ivy,27,9,98.9,103.5,0.3717,47.5,52.7,20.8,20.9,32.8,29.7,38.2,42.3,45.9,52.7,34.3,35.1,68.2,-12.4,No Seed,No Seed,2016,0.3333333333333333,0.6666666666666667,-4.599999999999994
63,Davidson,A10,32,19,113.0,106.0,0.6767,52.0,52.0,14.2,15.8,24.9,30.8,32.3,30.6,51.1,52.2,35.5,34.3,71.3,-2.1,No Seed,No Seed,2016,0.59375,0.40625,7.0
64,Dayton,A10,33,25,105.5,92.6,0.8184,51.6,46.9,18.6,18.0,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,68.5,2.4,R64,7.0,2016,0.7575757575757576,0.24242424242424243,12.900000000000006
65,Delaware,CAA,30,7,100.5,109.9,0.2635,45.3,51.8,17.7,13.5,29.6,28.0,42.2,31.9,43.7,51.4,32.5,34.8,68.1,-15.3,No Seed,No Seed,2016,0.23333333333333334,0.7666666666666666,-9.400000000000006
66,Delaware St.,MEAC,30,5,88.6,112.9,0.0578,44.8,51.6,21.1,19.9,27.2,38.8,29.1,41.3,42.4,52.8,32.4,33.3,67.1,-20.0,No Seed,No Seed,2016,0.16666666666666666,0.8333333333333334,-24.30000000000001
67,Denver,Sum,31,16,102.2,103.7,0.4573,55.7,52.0,20.8,22.7,20.0,31.0,36.6,43.3,54.3,49.9,38.3,37.2,62.0,-10.2,No Seed,No Seed,2016,0.5161290322580645,0.4838709677419355,-1.5
68,DePaul,BE,31,9,103.9,104.1,0.4935,49.4,51.4,21.5,17.8,30.7,29.9,36.5,44.8,48.6,49.2,34.3,36.4,68.1,-9.3,No Seed,No Seed,2016,0.2903225806451613,0.7096774193548387,-0.19999999999998863
69,Detroit,Horz,29,14,109.8,110.8,0.474,52.0,53.6,17.8,17.2,32.5,29.4,40.5,46.5,50.6,53.7,36.5,35.6,74.5,-8.4,No Seed,No Seed,2016,0.4827586206896552,0.5172413793103448,-1.0
70,Drake,MVC,30,6,102.9,111.6,0.2819,50.7,51.9,20.5,14.6,25.5,27.8,33.6,30.5,47.2,49.6,38.2,37.7,66.3,-16.9,No Seed,No Seed,2016,0.2,0.8,-8.699999999999989
71,Drexel,CAA,30,6,98.8,105.7,0.3161,44.3,52.5,16.8,18.1,27.7,28.8,36.9,47.4,42.3,51.5,32.7,36.5,65.5,-16.4,No Seed,No Seed,2016,0.2,0.8,-6.900000000000006
72,Duke,ACC,36,25,121.2,98.9,0.9122,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51.0,48.9,38.5,34.0,68.7,4.2,S16,4.0,2016,0.6944444444444444,0.3055555555555556,22.299999999999997
73,Duquesne,A10,33,16,108.2,105.1,0.5851,53.9,49.4,18.9,15.6,27.9,28.4,33.6,38.6,53.1,42.8,36.6,40.2,73.6,-7.8,No Seed,No Seed,2016,0.48484848484848486,0.5151515151515151,3.1000000000000085
74,East Carolina,Amer,32,12,102.3,104.2,0.4472,49.0,51.2,19.4,18.4,28.8,32.3,34.6,26.8,47.8,52.2,33.9,33.1,68.0,-10.6,No Seed,No Seed,2016,0.375,0.625,-1.9000000000000057
75,East Tennessee St.,SC,34,22,105.4,106.5,0.4713,53.0,50.5,18.1,17.8,28.3,30.6,34.9,39.8,50.4,50.1,38.3,34.1,70.2,-5.1,No Seed,No Seed,2016,0.6470588235294118,0.3529411764705882,-1.0999999999999943
76,Eastern Illinois,OVC,28,11,99.3,108.5,0.2665,49.9,51.4,18.0,19.5,26.8,34.7,34.4,40.5,48.8,52.0,34.4,33.5,67.8,-12.3,No Seed,No Seed,2016,0.39285714285714285,0.6071428571428572,-9.200000000000003
77,Eastern Kentucky,OVC,30,14,105.7,109.2,0.4067,56.0,53.1,20.3,20.3,27.0,34.2,40.3,42.3,54.2,51.3,39.5,37.6,73.2,-10.5,No Seed,No Seed,2016,0.4666666666666667,0.5333333333333333,-3.5
78,Eastern Michigan,MAC,29,14,105.7,104.4,0.5343,48.8,50.6,17.4,20.9,31.1,36.9,43.5,42.9,49.5,47.6,31.5,36.8,71.2,-7.8,No Seed,No Seed,2016,0.4827586206896552,0.5172413793103448,1.2999999999999972
79,Eastern Washington,BSky,32,16,111.6,112.9,0.4674,56.4,54.0,16.1,15.9,26.7,29.2,35.9,37.9,55.4,53.3,38.4,37.4,69.4,-10.7,No Seed,No Seed,2016,0.5,0.5,-1.3000000000000114
80,Elon,CAA,30,14,105.0,105.2,0.4927,51.8,50.3,17.7,15.8,27.2,29.8,30.4,33.4,52.5,49.1,33.9,35.3,72.4,-8.5,No Seed,No Seed,2016,0.4666666666666667,0.5333333333333333,-0.20000000000000284
81,Evansville,MVC,33,24,105.7,97.3,0.7216,53.4,45.9,18.2,18.4,24.5,25.0,46.9,29.4,53.2,44.4,35.9,32.6,69.5,-1.4,No Seed,No Seed,2016,0.7272727272727273,0.2727272727272727,8.400000000000006
82,Fairfield,MAAC,33,19,102.8,106.2,0.4057,51.3,49.6,17.6,18.9,24.8,34.1,32.6,34.1,50.0,49.1,35.4,33.7,72.4,-7.1,No Seed,No Seed,2016,0.5757575757575758,0.4242424242424242,-3.4000000000000057
83,Fairleigh Dickinson,NEC,32,17,103.0,115.6,0.209,51.2,52.4,17.7,21.0,28.4,35.8,33.3,46.9,49.5,52.1,36.4,35.4,72.5,-9.9,R68,16.0,2016,0.53125,0.46875,-12.599999999999994
84,FIU,CUSA,30,11,102.2,107.3,0.3646,52.0,48.1,19.3,14.2,30.8,29.4,35.6,35.7,50.7,47.1,36.8,33.1,66.0,-14.6,No Seed,No Seed,2016,0.36666666666666664,0.6333333333333333,-5.099999999999994
85,Florida,SEC,36,21,110.0,93.2,0.8703,48.5,46.7,16.0,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69.9,0.1,No Seed,No Seed,2016,0.5833333333333334,0.41666666666666663,16.799999999999997
86,Florida A&M,MEAC,27,6,82.9,107.0,0.0506,44.8,50.3,22.5,20.3,25.4,31.2,42.5,38.5,44.4,50.4,30.4,33.3,70.4,-18.3,No Seed,No Seed,2016,0.2222222222222222,0.7777777777777778,-24.099999999999994
87,Florida Atlantic,CUSA,31,7,95.0,107.9,0.1885,46.7,50.0,17.6,16.6,23.1,32.9,32.3,37.7,44.2,49.0,34.1,35.4,68.4,-17.3,No Seed,No Seed,2016,0.22580645161290322,0.7741935483870968,-12.900000000000006
88,Florida Gulf Coast,ASun,31,17,102.9,102.4,0.5136,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68.0,-8.4,R64,16.0,2016,0.5483870967741935,0.4516129032258065,0.5
89,Florida St.,ACC,34,20,112.2,99.1,0.8069,51.8,50.9,18.0,18.9,32.8,28.3,37.8,36.7,52.1,48.9,34.1,36.2,72.7,0.1,No Seed,No Seed,2016,0.5882352941176471,0.4117647058823529,13.100000000000009
90,Fordham,A10,30,16,101.8,100.4,0.5388,51.5,51.4,20.4,22.4,30.4,26.9,33.6,40.5,51.2,52.3,34.6,33.4,67.5,-6.0,No Seed,No Seed,2016,0.5333333333333333,0.4666666666666667,1.3999999999999915
91,Fresno St.,MWC,33,23,106.3,100.1,0.6646,48.4,48.8,15.1,21.0,30.0,29.7,37.7,46.4,47.0,48.4,34.4,33.0,69.8,-0.9,R64,14.0,2016,0.696969696969697,0.303030303030303,6.200000000000003
92,Furman,SC,33,17,103.0,106.3,0.4094,51.5,50.8,20.5,19.2,32.1,28.8,43.3,38.0,54.2,49.9,31.9,35.0,65.9,-10.1,No Seed,No Seed,2016,0.5151515151515151,0.48484848484848486,-3.299999999999997
93,Gardner Webb,BSth,30,14,100.1,106.6,0.3269,47.7,51.4,18.6,18.8,31.6,29.3,34.9,39.7,46.0,51.1,33.5,34.7,70.1,-10.3,No Seed,No Seed,2016,0.4666666666666667,0.5333333333333333,-6.5
94,George Mason,A10,32,11,101.4,103.1,0.4507,45.1,48.4,18.6,10.2,33.5,22.8,34.4,30.0,45.7,46.0,29.2,35.3,68.6,-11.6,No Seed,No Seed,2016,0.34375,0.65625,-1.6999999999999886
95,George Washington,A10,38,28,114.9,99.1,0.8454,50.8,48.7,16.5,17.5,34.4,27.9,39.1,27.0,48.4,48.2,37.1,33.0,67.2,-0.8,No Seed,No Seed,2016,0.7368421052631579,0.26315789473684215,15.800000000000011
96,Georgetown,BE,33,15,111.3,98.0,0.8118,51.2,46.6,19.1,16.3,28.3,28.4,37.9,49.3,51.4,44.1,33.9,34.9,68.9,-4.2,No Seed,No Seed,2016,0.45454545454545453,0.5454545454545454,13.299999999999997
97,Georgia,SEC,34,20,108.0,96.4,0.7881,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,67.9,-0.8,No Seed,No Seed,2016,0.5882352941176471,0.4117647058823529,11.599999999999994
98,Georgia Southern,SB,29,12,103.9,108.0,0.3913,47.5,51.8,16.2,20.0,29.7,34.5,37.7,44.5,45.6,52.5,33.3,33.8,69.5,-11.4,No Seed,No Seed,2016,0.41379310344827586,0.5862068965517242,-4.099999999999994
99,Georgia St.,SB,28,14,99.7,99.8,0.4947,48.5,47.9,18.0,21.2,24.5,31.0,37.5,41.3,47.1,47.0,34.8,32.8,65.4,-8.6,No Seed,No Seed,2016,0.5,0.5,-0.09999999999999432
100,Georgia Tech,ACC,36,21,113.9,98.2,0.845,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,48.4,49.5,35.7,32.0,67.8,0.0,No Seed,No Seed,2016,0.5833333333333334,0.41666666666666663,15.700000000000003
101,Gonzaga,WCC,35,27,117.4,94.5,0.9238,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,54.3,44.4,37.8,30.3,68.2,2.1,S16,11.0,2016,0.7714285714285715,0.22857142857142854,22.900000000000006
102,Grambling St.,SWAC,28,4,85.9,110.5,0.0523,43.8,50.8,21.7,20.0,24.9,32.5,44.2,41.4,45.3,51.5,27.4,33.1,66.9,-19.7,No Seed,No Seed,2016,0.14285714285714285,0.8571428571428572,-24.599999999999994
103,Grand Canyon,WAC,32,25,103.1,100.7,0.5683,49.8,48.1,16.9,19.1,32.0,27.3,41.5,35.1,48.3,48.4,35.6,31.7,69.5,-1.0,No Seed,No Seed,2016,0.78125,0.21875,2.3999999999999915
104,Green Bay,Horz,34,21,106.9,104.2,0.5729,49.8,51.5,15.8,21.1,30.9,32.0,42.2,35.8,48.5,50.0,35.0,36.3,77.3,-4.5,R64,14.0,2016,0.6176470588235294,0.38235294117647056,2.700000000000003
105,Hampton,MEAC,31,20,98.2,107.5,0.2615,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,-6.3,R64,16.0,2016,0.6451612903225806,0.3548387096774194,-9.299999999999997
106,Hartford,AE,32,9,99.4,114.2,0.1685,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,45.6,54.0,35.4,34.7,70.2,-17.7,No Seed,No Seed,2016,0.28125,0.71875,-14.799999999999997
107,Harvard,Ivy,28,12,99.3,99.1,0.5035,51.8,46.6,21.5,16.8,29.6,28.4,31.5,33.5,48.1,46.4,39.2,31.3,66.9,-8.9,No Seed,No Seed,2016,0.42857142857142855,0.5714285714285714,0.20000000000000284
108,Hawaii,BW,32,26,106.9,95.0,0.7945,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30.0,71.4,0.8,R32,13.0,2016,0.8125,0.1875,11.900000000000006
109,High Point,BSth,29,18,109.2,109.5,0.4905,51.9,52.9,15.9,20.6,31.9,31.7,35.0,32.3,49.8,53.3,38.2,34.7,66.9,-5.7,No Seed,No Seed,2016,0.6206896551724138,0.3793103448275862,-0.29999999999999716
110,Hofstra,CAA,33,23,110.1,102.9,0.6855,51.4,49.9,16.7,16.4,31.9,30.0,39.5,24.0,50.1,48.3,35.6,35.3,70.4,-1.6,No Seed,No Seed,2016,0.696969696969697,0.303030303030303,7.199999999999989
111,Holy Cross,Pat,35,15,96.7,106.9,0.2398,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,-14.5,R64,16.0,2016,0.42857142857142855,0.5714285714285714,-10.200000000000003
112,Houston,Amer,32,22,116.2,104.6,0.7703,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36.0,52.1,48.3,34.8,30.3,67.3,-1.2,No Seed,No Seed,2016,0.6875,0.3125,11.600000000000009
